Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
Sub-County Place,Fallbrook CDP,01-01-2016,2016,January,N,Final,13000,12500,500,0.041
Sub-County Place,Fall River Mills CDP,01-01-2016,2016,January,N,Final,100,100,0,0.276
Sub-County Place,Farmersville city,01-01-2016,2016,January,N,Final,4700,4000,800,0.16
Sub-County Place,Farmington CDP,01-01-2016,2016,January,N,Final,100,100,0,0
Sub-County Place,Fellows CDP,01-01-2016,2016,January,N,Final,0,0,0,0.079
Sub-County Place,Felton CDP,01-01-2016,2016,January,N,Final,1900,1800,100,0.053
Sub-County Place,Ferndale city,01-01-2016,2016,January,N,Final,600,600,0,0.035
Sub-County Place,Fetters Hot Springs Agua Caliente CDP,01-01-2016,2016,January,N,Final,2500,2300,200,0.075
Sub-County Place,Fillmore city,01-01-2016,2016,January,N,Final,6800,6400,400,0.056
Sub-County Place,Firebaugh city,01-01-2016,2016,January,N,Final,3900,3400,500,0.134
Sub-County Place,Florence Graham CDP,01-01-2016,2016,January,N,Final,26700,24700,2000,0.075
Sub-County Place,Florin CDP,01-01-2016,2016,January,N,Final,20100,18300,1800,0.092
Sub-County Place,Folsom city,01-01-2016,2016,January,N,Final,36000,34500,1400,0.04
Sub-County Place,Fontana city,01-01-2016,2016,January,N,Final,95100,89900,5300,0.055
Sub-County Place,Foothill Farms CDP,01-01-2016,2016,January,N,Final,15300,14500,900,0.056
Sub-County Place,Ford City CDP,01-01-2016,2016,January,N,Final,2200,2100,200,0.086
Sub-County Place,Foresthill CDP,01-01-2016,2016,January,N,Final,600,500,0,0.073
Sub-County Place,Forest Meadows CDP,01-01-2016,2016,January,N,Final,790,750,40,0.048
Sub-County Place,Forestville CDP,01-01-2016,2016,January,N,Final,1900,1800,100,0.067
Sub-County Place,Fort Bragg city,01-01-2016,2016,January,N,Final,3350,3200,150,0.045
Sub-County Place,Fortuna city,01-01-2016,2016,January,N,Final,5000,4700,300,0.054
Sub-County Place,Foster City city,01-01-2016,2016,January,N,Final,19300,18700,600,0.03
Sub-County Place,Fountain Valley city,01-01-2016,2016,January,N,Final,28300,27100,1200,0.043
Sub-County Place,Fowler city,01-01-2016,2016,January,N,Final,2800,2500,200,0.089
Sub-County Place,Frazier Park CDP,01-01-2016,2016,January,N,Final,900,900,100,0.087
Sub-County Place,Freedom CDP,01-01-2016,2016,January,N,Final,1300,1200,100,0.064
Sub-County Place,Fremont city,01-01-2016,2016,January,N,Final,116700,111900,4700,0.041
Sub-County Place,French Camp CDP,01-01-2016,2016,January,N,Final,1100,1000,100,0.129
Sub-County Place,Fresno city,01-01-2016,2016,January,N,Final,226200,207800,18400,0.081
Sub-County Place,Friant CDP,01-01-2016,2016,January,N,Final,200,100,100,0.272
Sub-County Place,Fullerton city,01-01-2016,2016,January,N,Final,69800,66900,2800,0.041
Sub-County Place,Furnace Creek CDP,01-01-2016,2016,January,N,Final,160,160,0,0.006
Sub-County Place,Galt city,01-01-2016,2016,January,N,Final,11500,10300,1200,0.103
Sub-County Place,Gardena city,01-01-2016,2016,January,N,Final,29500,27800,1700,0.059
Sub-County Place,Garden Acres CDP,01-01-2016,2016,January,N,Final,4800,4100,600,0.135
Sub-County Place,Garden Grove city,01-01-2016,2016,January,N,Final,81800,78000,3900,0.047
Sub-County Place,Georgetown CDP,01-01-2016,2016,January,N,Final,900,800,100,0.085
Sub-County Place,Gilroy city,01-01-2016,2016,January,N,Final,28200,26700,1500,0.052
Sub-County Place,Glendale city,01-01-2016,2016,January,N,Final,100000,94700,5300,0.053
Sub-County Place,Glendora city,01-01-2016,2016,January,N,Final,25200,23900,1300,0.053
Sub-County Place,Glen Ellen CDP,01-01-2016,2016,January,N,Final,400,400,0,0
Sub-County Place,Golden Hills CDP,01-01-2016,2016,January,N,Final,4100,3800,300,0.073
Sub-County Place,Gold River CDP,01-01-2016,2016,January,N,Final,3400,3300,100,0.043
Sub-County Place,Goleta City,01-01-2016,2016,January,N,Final,16600,16000,600,0.034
Sub-County Place,Gonzales city,01-01-2016,2016,January,N,Final,3300,3100,100,0.036
Sub-County Place,Goshen CDP,01-01-2016,2016,January,N,Final,1600,1300,200,0.145
Sub-County Place,Graeagle CDP,01-01-2016,2016,January,N,Final,200,180,10,0.062
Sub-County Place,Grand Terrace city,01-01-2016,2016,January,N,Final,6100,5800,300,0.051
Sub-County Place,Granite Bay CDP,01-01-2016,2016,January,N,Final,10700,10200,500,0.044
Sub-County Place,Grass Valley city,01-01-2016,2016,January,N,Final,5640,5250,400,0.07
Sub-County Place,Graton CDP,01-01-2016,2016,January,N,Final,800,700,0,0.062
Sub-County Place,Greenfield city,01-01-2016,2016,January,N,Final,7300,6100,1200,0.166
Sub-County Place,Greenhorn CDP,01-01-2016,2016,January,N,Final,110,90,20,0.18
Sub-County Place,Green Valley CDP,01-01-2016,2016,January,N,Final,600,600,0,0.013
Sub-County Place,Greenville CDP,01-01-2016,2016,January,N,Final,230,190,40,0.169
Sub-County Place,Gridley city,01-01-2016,2016,January,N,Final,2900,2600,300,0.088
Sub-County Place,Grover Beach city,01-01-2016,2016,January,N,Final,6800,6500,200,0.036
Sub-County Place,Guadalupe city,01-01-2016,2016,January,N,Final,2900,2700,200,0.071
Sub-County Place,Guerneville CDP,01-01-2016,2016,January,N,Final,2100,2000,100,0.059
Sub-County Place,Gustine city,01-01-2016,2016,January,N,Final,2800,2300,400,0.159
Sub-County Place,Hacienda Heights CDP,01-01-2016,2016,January,N,Final,25100,24100,1000,0.04
Sub-County Place,Half Moon Bay city,01-01-2016,2016,January,N,Final,7500,7200,200,0.028
Sub-County Place,Hamilton Branch CDP,01-01-2016,2016,January,N,Final,200,130,80,0.374
Sub-County Place,Hamilton City CDP,01-01-2016,2016,January,N,Final,830,770,60,0.068
Sub-County Place,Hanford city,01-01-2016,2016,January,N,Final,24300,21900,2400,0.098
Sub-County Place,Hawaiian Gardens city,01-01-2016,2016,January,N,Final,5800,5400,400,0.068
Sub-County Place,Hawthorne city,01-01-2016,2016,January,N,Final,43900,41400,2500,0.057
Sub-County Place,Hayfork CDP,01-01-2016,2016,January,N,Final,1200,1170,30,0.027
Sub-County Place,Hayward city,01-01-2016,2016,January,N,Final,76700,72900,3800,0.049
Sub-County Place,Healdsburg city,01-01-2016,2016,January,N,Final,5700,5500,200,0.039
Sub-County Place,Heber CDP,01-01-2016,2016,January,N,Final,1900,1400,500,0.263
Sub-County Place,Hemet city,01-01-2016,2016,January,N,Final,28800,26500,2400,0.082
Sub-County Place,Hercules city,01-01-2016,2016,January,N,Final,13600,13000,600,0.042
Sub-County Place,Hermosa Beach city,01-01-2016,2016,January,N,Final,11900,11600,300,0.026
Sub-County Place,Hesperia city,01-01-2016,2016,January,N,Final,34700,32000,2600,0.076
Sub-County Place,Hidden Hills city,01-01-2016,2016,January,N,Final,600,600,0,0.03
Sub-County Place,Hidden Valley Lake CDP,01-01-2016,2016,January,N,Final,2930,2830,100,0.034
Sub-County Place,Highgrove CDP,01-01-2016,2016,January,N,Final,2000,1800,200,0.096
Sub-County Place,Highland city,01-01-2016,2016,January,N,Final,23900,22500,1400,0.059
Sub-County Place,Hillsborough town,01-01-2016,2016,January,N,Final,4900,4700,100,0.031
Sub-County Place,Hilmar Irwin CDP,01-01-2016,2016,January,N,Final,2400,2400,100,0.027
Sub-County Place,Hollister city,01-01-2016,2016,January,N,Final,19100,17400,1700,0.089
Sub-County Place,Holtville city,01-01-2016,2016,January,N,Final,2300,1900,400,0.178
Sub-County Place,Home Garden CDP,01-01-2016,2016,January,N,Final,700,600,100,0.181
Sub-County Place,Home Gardens CDP,01-01-2016,2016,January,N,Final,5000,4800,200,0.048
Sub-County Place,Homeland CDP,01-01-2016,2016,January,N,Final,2600,2400,200,0.069
Sub-County Place,Hughson city,01-01-2016,2016,January,N,Final,3200,3000,300,0.081
Sub-County Place,Huntington Beach city,01-01-2016,2016,January,N,Final,107400,103000,4400,0.041
Sub-County Place,Huntington Park city,01-01-2016,2016,January,N,Final,26100,24500,1600,0.06
Sub-County Place,Huron city,01-01-2016,2016,January,N,Final,2600,2400,200,0.087
Sub-County Place,Hydesville CDP,01-01-2016,2016,January,N,Final,600,600,0,0.012
Sub-County Place,Idyllwild Pine Cove CDP,01-01-2016,2016,January,N,Final,1300,1300,100,0.045
Sub-County Place,Imperial city,01-01-2016,2016,January,N,Final,8200,6700,1500,0.184
Sub-County Place,Imperial Beach city,01-01-2016,2016,January,N,Final,11900,11100,700,0.062
Sub-County Place,Independence CDP,01-01-2016,2016,January,N,Final,290,280,10,0.042
Sub-County Place,Indian Falls CDP,01-01-2016,2016,January,N,Final,10,10,0,0
Sub-County Place,Indian Wells city,01-01-2016,2016,January,N,Final,1700,1600,100,0.046
Sub-County Place,Indio city,01-01-2016,2016,January,N,Final,38600,36100,2400,0.063
Sub-County Place,Industry city,01-01-2016,2016,January,N,Final,100,100,0,0.079
Sub-County Place,Inglewood city,01-01-2016,2016,January,N,Final,51700,48200,3500,0.067
Sub-County Place,Interlaken CDP,01-01-2016,2016,January,N,Final,3300,3100,200,0.067
Sub-County Place,Inverness CDP,01-01-2016,2016,January,N,Final,700,700,0,0
Sub-County Place,Inyokern CDP,01-01-2016,2016,January,N,Final,400,400,0,0
Sub-County Place,Ione city,01-01-2016,2016,January,N,Final,1470,1370,100,0.069
Sub-County Place,Iron Horse CDP,01-01-2016,2016,January,N,Final,160,120,40,0.242
Sub-County Place,Irvine city,01-01-2016,2016,January,N,Final,137100,131900,5200,0.038
Sub-County Place,Irwindale city,01-01-2016,2016,January,N,Final,600,500,100,0.085
Sub-County Place,Isla Vista CDP,01-01-2016,2016,January,N,Final,12500,10900,1600,0.129
Sub-County Place,Isleton city,01-01-2016,2016,January,N,Final,300,300,0,0.072
Sub-County Place,Ivanhoe CDP,01-01-2016,2016,January,N,Final,1600,1500,200,0.11
Sub-County Place,Jackson city,01-01-2016,2016,January,N,Final,2090,1870,220,0.105
Sub-County Place,Jamestown CDP,01-01-2016,2016,January,N,Final,1040,950,90,0.086
Sub-County Place,Johannesburg CDP,01-01-2016,2016,January,N,Final,0,0,0,0
Sub-County Place,Johnsville CDP,01-01-2016,2016,January,N,Final,0,0,0,0
Sub-County Place,Joshua Tree CDP,01-01-2016,2016,January,N,Final,2600,2300,300,0.097
Sub-County Place,Jurupa Valley city,01-01-2016,2016,January,N,Final,45800,43100,2600,0.058
Sub-County Place,Keddie CDP,01-01-2016,2016,January,N,Final,20,20,0,0
Sub-County Place,Keeler CDP,01-01-2016,2016,January,N,Final,10,10,0,0
Sub-County Place,Keene CDP,01-01-2016,2016,January,N,Final,200,100,0,0.264
Sub-County Place,Kelseyville CDP,01-01-2016,2016,January,N,Final,1750,1590,160,0.089
Sub-County Place,Kennedy CDP,01-01-2016,2016,January,N,Final,1400,1200,200,0.124
Sub-County Place,Kensington CDP,01-01-2016,2016,January,N,Final,3000,3000,100,0.022
Sub-County Place,Kerman city,01-01-2016,2016,January,N,Final,6600,6000,600,0.091
Sub-County Place,Kernville CDP,01-01-2016,2016,January,N,Final,700,700,0,0.056
Sub-County Place,Kettleman City CDP,01-01-2016,2016,January,N,Final,700,700,100,0.11
Sub-County Place,Keyes CDP,01-01-2016,2016,January,N,Final,3000,2500,600,0.184
Sub-County Place,King City city,01-01-2016,2016,January,N,Final,6000,5100,900,0.145
Sub-County Place,Kings Beach CDP,01-01-2016,2016,January,N,Final,2200,2100,100,0.046
Sub-County Place,Kingsburg city,01-01-2016,2016,January,N,Final,5400,4900,500,0.092
Sub-County Place,Kirkwood CDP,01-01-2016,2016,January,N,Final,70,70,0,0
Sub-County Place,Klamath CDP,01-01-2016,2016,January,N,Final,340,280,70,0.201
Sub-County Place,Knightsen CDP,01-01-2016,2016,January,N,Final,600,600,0,0.042
Sub-County Place,La Canada Flintridge city,01-01-2016,2016,January,N,Final,9300,9100,200,0.025
Sub-County Place,La Crescenta Montrose CDP,01-01-2016,2016,January,N,Final,9800,9400,300,0.036
Sub-County Place,Ladera Heights CDP,01-01-2016,2016,January,N,Final,3600,3300,300,0.082
Sub-County Place,Lafayette city,01-01-2016,2016,January,N,Final,12300,11800,500,0.037
Sub-County Place,Laguna Beach city,01-01-2016,2016,January,N,Final,12500,12000,500,0.037
Sub-County Place,Laguna Hills city,01-01-2016,2016,January,N,Final,17100,16400,600,0.038
Sub-County Place,Laguna Niguel city,01-01-2016,2016,January,N,Final,34600,33200,1400,0.041
Sub-County Place,Laguna Woods city,01-01-2016,2016,January,N,Final,3600,3500,100,0.031
Sub-County Place,La Habra city,01-01-2016,2016,January,N,Final,30400,29000,1400,0.045
Sub-County Place,La Habra Heights city,01-01-2016,2016,January,N,Final,2400,2300,100,0.031
Sub-County Place,Lake Almanor Country Club CDP,01-01-2016,2016,January,N,Final,60,60,0,0
Sub-County Place,Lake Almanor Peninsula CDP,01-01-2016,2016,January,N,Final,110,110,0,0
Sub-County Place,Lake Almanor West CDP,01-01-2016,2016,January,N,Final,60,50,10,0.148
Sub-County Place,Lake Arrowhead CDP,01-01-2016,2016,January,N,Final,4900,4700,200,0.031
Sub-County Place,Lake Elsinore city,01-01-2016,2016,January,N,Final,28200,26600,1600,0.057
Sub-County Place,Lake Forest city,01-01-2016,2016,January,N,Final,47000,45400,1700,0.036
Sub-County Place,Lake Isabella CDP,01-01-2016,2016,January,N,Final,1300,1200,100,0.087
Sub-County Place,Lakeland Village CDP,01-01-2016,2016,January,N,Final,5200,4700,500,0.102
Sub-County Place,Lake Los Angeles CDP,01-01-2016,2016,January,N,Final,3900,3500,400,0.1
Sub-County Place,Lake Nacimiento CDP,01-01-2016,2016,January,N,Final,1300,1200,0,0.023
Sub-County Place,Lake of the Pines CDP,01-01-2016,2016,January,N,Final,1980,1890,90,0.044
Sub-County Place,Lake of the Woods CDP,01-01-2016,2016,January,N,Final,300,300,0,0.077
Sub-County Place,Lakeport city,01-01-2016,2016,January,N,Final,2470,2360,110,0.046
Sub-County Place,Lakeside CDP,01-01-2016,2016,January,N,Final,10600,10000,600,0.054
Sub-County Place,Lakeview CDP,01-01-2016,2016,January,N,Final,1000,900,100,0.064
Sub-County Place,Lake Wildwood CDP,01-01-2016,2016,January,N,Final,1870,1840,30,0.015
Sub-County Place,Lakewood city,01-01-2016,2016,January,N,Final,42100,39800,2300,0.054
Sub-County Place,La Mesa city,01-01-2016,2016,January,N,Final,30200,28800,1400,0.047
Sub-County Place,La Mirada city,01-01-2016,2016,January,N,Final,23700,22500,1300,0.053
Sub-County Place,Lamont CDP,01-01-2016,2016,January,N,Final,7000,6400,600,0.087
Sub-County Place,Lanare CDP,01-01-2016,2016,January,N,Final,100,100,0,0.202
Sub-County Place,Lancaster city,01-01-2016,2016,January,N,Final,63600,58500,5000,0.079
Sub-County Place,La Palma city,01-01-2016,2016,January,N,Final,7600,7300,300,0.039
Sub-County Place,La Porte CDP,01-01-2016,2016,January,N,Final,0,0,0,0
Sub-County Place,La Puente city,01-01-2016,2016,January,N,Final,18700,17600,1200,0.062
Sub-County Place,La Quinta city,01-01-2016,2016,January,N,Final,18300,17300,900,0.051
Sub-County Place,La Riviera CDP,01-01-2016,2016,January,N,Final,5500,5300,200,0.043
Sub-County Place,Larkspur city,01-01-2016,2016,January,N,Final,6700,6400,200,0.035
Sub-County Place,Las Flores CDP,01-01-2016,2016,January,N,Final,3000,3000,100,0.02
Sub-County Place,Las Lomas CDP,01-01-2016,2016,January,N,Final,1600,1500,200,0.115
Sub-County Place,Lathrop city,01-01-2016,2016,January,N,Final,8800,8000,700,0.084
Sub-County Place,Laton CDP,01-01-2016,2016,January,N,Final,800,700,100,0.102
Sub-County Place,La Verne city,01-01-2016,2016,January,N,Final,15600,14800,800,0.052
Sub-County Place,Lawndale city,01-01-2016,2016,January,N,Final,16300,15400,900,0.053
Sub-County Place,Laytonville CDP,01-01-2016,2016,January,N,Final,440,380,60,0.135
Sub-County Place,Lebec CDP,01-01-2016,2016,January,N,Final,800,600,200,0.223
Sub-County Place,Le Grand CDP,01-01-2016,2016,January,N,Final,800,700,100,0.172
Sub-County Place,Lemon Cove CDP,01-01-2016,2016,January,N,Final,100,100,0,0.171
Sub-County Place,Lemon Grove city,01-01-2016,2016,January,N,Final,12200,11500,700,0.057
Sub-County Place,Lemoore city,01-01-2016,2016,January,N,Final,11700,10700,1000,0.085
Sub-County Place,Lemoore Station CDP,01-01-2016,2016,January,N,Final,1300,1100,200,0.143
Sub-County Place,Lennox CDP,01-01-2016,2016,January,N,Final,10200,9500,700,0.072
Sub-County Place,Lenwood CDP,01-01-2016,2016,January,N,Final,1800,1700,100,0.051
Sub-County Place,Lewiston CDP,01-01-2016,2016,January,N,Final,430,390,40,0.091
Sub-County Place,Lincoln city,01-01-2016,2016,January,N,Final,18600,17600,1000,0.052
Sub-County Place,Lincoln Village CDP,01-01-2016,2016,January,N,Final,2100,1900,200,0.108
Sub-County Place,Linda CDP,01-01-2016,2016,January,N,Final,6600,5800,800,0.118
Sub-County Place,Linden CDP,01-01-2016,2016,January,N,Final,1100,1000,0,0.045
Sub-County Place,Lindsay city,01-01-2016,2016,January,N,Final,5700,5000,700,0.123
Sub-County Place,Little Grass Valley CDP,01-01-2016,2016,January,N,Final,0,0,0,0
Sub-County Place,Littlerock CDP,01-01-2016,2016,January,N,Final,600,500,100,0.144
Sub-County Place,Live Oak CDP,01-01-2016,2016,January,N,Final,9700,9100,700,0.067
Sub-County Place,Live Oak city,01-01-2016,2016,January,N,Final,3400,3100,400,0.111
Sub-County Place,Livermore city,01-01-2016,2016,January,N,Final,47100,45300,1800,0.038
Sub-County Place,Livingston city,01-01-2016,2016,January,N,Final,6300,5700,600,0.098
Sub-County Place,Lockeford CDP,01-01-2016,2016,January,N,Final,1500,1300,100,0.089
Sub-County Place,Lodi city,01-01-2016,2016,January,N,Final,28800,25900,2800,0.098
Sub-County Place,Loma Linda city,01-01-2016,2016,January,N,Final,10900,10500,400,0.035
Sub-County Place,Loma Rica CDP,01-01-2016,2016,January,N,Final,1100,1100,0,0.009
Sub-County Place,Lomita city,01-01-2016,2016,January,N,Final,11300,10700,600,0.052
Sub-County Place,Lompoc city,01-01-2016,2016,January,N,Final,17400,16000,1400,0.079
Sub-County Place,London CDP,01-01-2016,2016,January,N,Final,900,700,200,0.217
Sub-County Place,Lone Pine CDP,01-01-2016,2016,January,N,Final,900,820,80,0.09
Sub-County Place,Long Beach city,01-01-2016,2016,January,N,Final,233100,219200,13800,0.059
Sub-County Place,Loomis town,01-01-2016,2016,January,N,Final,3000,2900,200,0.052
Sub-County Place,Los Alamitos city,01-01-2016,2016,January,N,Final,5500,5300,300,0.048
Sub-County Place,Los Alamos CDP,01-01-2016,2016,January,N,Final,700,600,100,0.088
Sub-County Place,Los Altos city,01-01-2016,2016,January,N,Final,14500,14000,600,0.038
Sub-County Place,Los Angeles city,01-01-2016,2016,January,N,Final,2002000,1886900,115200,0.058
Sub-County Place,Los Banos city,01-01-2016,2016,January,N,Final,16100,13600,2500,0.155
Sub-County Place,Los Gatos town,01-01-2016,2016,January,N,Final,15800,15100,600,0.039
Sub-County Place,Los Molinos CDP,01-01-2016,2016,January,N,Final,860,800,60,0.064
Sub-County Place,Lost Hills CDP,01-01-2016,2016,January,N,Final,900,800,0,0.048
Sub-County Place,Lower Lake CDP,01-01-2016,2016,January,N,Final,790,700,90,0.119
Sub-County Place,Loyalton city,01-01-2016,2016,January,N,Final,360,300,50,0.146
Sub-County Place,Lucerne CDP,01-01-2016,2016,January,N,Final,1230,1130,100,0.08
Sub-County Place,Lynwood city,01-01-2016,2016,January,N,Final,28000,26100,1900,0.069
Sub-County Place,McCloud CDP,01-01-2016,2016,January,N,Final,380,310,70,0.192
Sub-County Place,McFarland city,01-01-2016,2016,January,N,Final,5300,4400,900,0.165
Sub-County Place,McKinleyville CDP,01-01-2016,2016,January,N,Final,7800,7400,400,0.046
Sub-County Place,McKittrick CDP,01-01-2016,2016,January,N,Final,100,0,0,0.189
